username,Itemid,amount,datetime
tblue,1,80.00,2024-02-02 22:48:14
mred,2,10.00,2024-02-02 22:46:02
user1,2,13.00,2024-02-03 13:07:10
admin2,2,15.00,2024-02-03 13:07:36
tblue,2,18.00,2024-02-03 13:09:19
user2,2,20.00,2024-02-03 13:09:49
tblue,2,22.00,2024-02-03 13:10:11
jsmith,2,24.00,2024-02-03 13:10:32
jgreen,2,30.00,2024-02-03 16:35:57
tblue,3,100.00,2024-02-03 12:34:27
jgreen,3,105.00,2024-02-03 12:35:01
pbrown,3,300.00,2024-02-03 12:36:32
jgreen,4,550.00,2024-02-03 16:35:15
jgreen,4,600.00,2024-02-03 16:36:47
pbrown,4,603.78,2024-02-04 12:19:06
pbrown,4,606.00,2024-02-04 12:19:27
user4,5,300.00,2024-02-03 16:33:14
mred,10,50.00,2024-02-10 11:00:05
mred,10,53.00,2024-02-10 11:01:18
jgreen,10,55.00,2024-02-10 11:01:10
mred,10,57.00,2024-02-10 11:03:04
mred,10,58.00,2024-02-10 11:02:33
mred,10,60.00,2024-02-10 11:27:01
mred,10,61.00,2024-02-10 11:28:15
mred,10,63.00,2024-02-10 11:31:48
mred,10,67.00,2024-02-10 11:33:21
pbrown,10,70.00,2024-02-10 11:33:49
Pink,12,101.00,2024-02-14 13:48:54
admin1,12,105.00,2024-02-14 13:50:13
pbrown,12,120.00,2024-02-14 20:58:37
pbrown,12,125.00,2024-02-14 21:00:58
ablack,16,508.00,2024-02-18 11:39:10
mred,16,515.00,2024-02-19 15:10:57
tblue,16,516.00,2024-02-19 15:11:15
mred,16,517.00,2024-02-19 15:11:35
jsmith,17,20.00,2024-02-18 12:42:47
trichards,17,25.00,2024-02-18 12:43:00
apink,17,100.00,2024-02-18 12:43:22
jsmith,19,300.00,2024-02-18 13:31:53
pbrown,19,305.00,2024-02-18 13:32:05
jgreen,19,310.00,2024-02-18 13:32:59
jbrian,19,700.00,2024-02-18 13:33:38
apink,20,255.00,2024-02-22 16:39:23
user6,25,35.00,2024-02-23 15:34:01
jbrian,26,52.00,2024-02-23 15:43:40
user1,26,55.00,2024-02-23 15:44:03
pbrown,26,70.00,2024-02-23 15:46:55
user5,27,200.00,2024-02-23 15:51:26
trichards,28,15.00,2024-02-23 15:59:57
apink,29,18.00,2024-02-23 16:04:04
user3,30,20.00,2024-02-23 16:06:46
user3,31,15.00,2024-02-23 16:16:24
mred,32,7.00,2024-02-23 16:22:33
o'brian,33,6.00,2024-02-23 16:27:02
admin2,34,5.00,2024-02-23 16:32:06
pbrown,35,22.00,2024-03-03 19:35:20
mred,35,25.00,2024-03-03 19:38:29
pbrown,35,28.00,2024-03-03 19:39:06
mred,35,30.00,2024-03-03 19:39:34
admin2,35,33.00,2024-03-03 19:40:23
pbrown,35,35.00,2024-03-03 19:40:47
pbrown,35,40.00,2024-03-03 19:41:39
mred,36,120.00,2024-03-03 19:38:02
pbrown,36,122.00,2024-03-03 21:00:57
pbrown,36,124.00,2024-03-03 21:06:42
mred,36,126.00,2024-03-03 21:42:58
pbrown,39,250.00,2024-03-06 13:14:31
mred,39,253.00,2024-03-06 13:15:14
jgreen,39,600.00,2024-03-07 13:49:58
tblue,40,10.00,2024-03-07 13:34:11
jgreen,40,11.00,2024-03-07 13:34:28
tblue,40,30.00,2024-03-07 13:35:02
pbrown,41,16.00,2024-03-08 11:34:16
tblue,42,20.00,2024-03-07 19:09:36
pbrown,42,21.00,2024-03-07 19:11:03
tblue,42,25.00,2024-03-07 19:11:28
tblue,42,50.00,2024-03-07 19:11:59
user4,44,50.00,2024-02-27 14:53:00
user5,44,55.00,2024-02-27 16:45:00
user4,44,75.00,2024-02-27 19:28:00
user5,44,85.00,2024-02-28 10:00:00
user6,45,80.00,2024-02-29 13:55:00
user1,46,1500.00,2024-03-03 08:37:00
user3,46,1501.00,2024-03-03 09:15:00
user1,46,1795.00,2024-03-03 12:27:00
user4,50,20.00,2024-03-07 20:20:00
user2,50,25.00,2024-03-08 21:15:00
user5,51,745.00,2024-03-11 10:55:39
admin1,51,750.00,2024-03-11 18:17:33
jgreen,52,35.00,2024-03-11 18:24:28
jgreen,52,37.00,2024-03-11 18:24:51
